,x
1,z1131
2,z1132
3,z1189
4,z1226
5,z1261
6,z1264
7,z1312
8,z1314
9,z1315
10,z1316
11,z1317
12,z1
13,z1002
14,z1004
15,z1005
16,z1006
18,z1061
19,z1077
21,z1082
22,z11
23,z1102
24,z1111
25,z1114
28,z130
29,z15
33,z186
34,z2
39,z237
40,z24
41,z284
43,z299
45,z328
46,z413
47,z465
48,z469
49,z470
50,z504
51,z517
52,z519
53,z62
59,z994
60,z996
61,z572
62,z624
63,z638
65,z666
66,z706
67,z778
68,z845
69,z863
70,z864
71,z875
72,z890
73,z936
74,z986
